date,hour,battery_soc,pvout,price,action,cumrev_agent,cumrev_dp,gap,gap_pct,cumrev_baseline
2022-09-14,21.5,0.0,0.0,35.01,0.0,1102.4541348619714,1125.72833,23.274195138028517,2.067478850605858,947.9868659371887
2022-09-14,22.0,0.0,0.0,33.0,0.0,1102.4541348619714,1125.72833,23.274195138028517,2.067478850605858,947.9868659371887
2022-09-14,22.5,0.0,0.0,33.0,0.0,1102.4541348619714,1125.72833,23.274195138028517,2.067478850605858,947.9868659371887
2022-09-14,23.0,0.0,0.0,29.99,0.0,1102.4541348619714,1125.72833,23.274195138028517,2.067478850605858,947.9868659371887
2022-09-14,23.5,0.0,0.0,24.21,0.0,1102.4541348619714,1125.72833,23.274195138028517,2.067478850605858,947.9868659371887
2022-09-15,0.0,0.0,0.0,20.13,0.0,0.0,0.0,0.0,,0.0
2022-09-15,0.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,1.5,0.0,0.0,24.21,0.0,0.0,0.0,0.0,,0.0
2022-09-15,2.0,0.0,0.0,24.21,0.0,0.0,0.0,0.0,,0.0
2022-09-15,2.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,3.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,4.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-15,4.5,0.0,0.0,29.99,0.0,0.0,0.0,0.0,,0.0
2022-09-15,5.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,,0.0
2022-09-15,5.5,0.0,0.005841759,30.0,0.0,0.1752527699991333,0.0,-0.1752527699991333,,0.1752527700000428
2022-09-15,6.0,0.0,0.017870747,28.0,0.0,0.6756336859998555,0.0,-0.6756336859998555,,0.6756336859998555
2022-09-15,6.5,0.0,0.057016096,28.0,0.0,2.2720843739989505,0.0,-2.2720843739989505,,2.27208437399986
2022-09-15,7.0,0.0,0.099366834,26.0,0.0,4.855622057999426,0.0,-4.855622057999426,,4.855622057999426
2022-09-15,7.5,0.0,0.166789084,23.0,-0.16678908,4.855622057999426,0.0,-4.855622057999426,,8.691770989998986
2022-09-15,8.0,0.16678908467292786,0.248306249,22.92,-0.24830624,4.855622158578626,0.0,-4.855622158578626,,14.38295021707927
2022-09-15,8.5,0.41509532928466797,0.351056349,12.86,-0.35105634,4.855622308312377,0.0,-4.855622308312377,,18.897534865219313
2022-09-15,9.0,0.7661516666412354,0.496471112,20.1,-0.49641833,4.8566832849410275,0.0,-4.8566832849410275,,28.876604216419764
2022-09-15,9.5,1.2625700235366821,0.488676592,29.99,-0.4882646,4.869039209872426,0.0,-4.869039209872426,,43.532015210499594
2022-09-15,10.0,1.750834584236145,0.345427612,33.62,-0.3181668,5.785547965067963,0.0,-5.785547965067963,,55.14529152593968
2022-09-15,10.5,2.0690014362335205,0.611060129,23.93,-0.58083767,6.508771481006988,0.0,-6.508771481006988,,69.76796041290982
2022-09-15,11.0,2.649839162826538,0.811845575,33.62,1.942223,99.1005553870782,0.0,-99.1005553870782,,97.06220864441002
2022-09-15,11.5,0.7076162099838257,1.128495537,34.11,0.4547099,153.10369241692933,28.20897,-124.89472241692934,-442.74825495907623,135.55519141148034
2022-09-15,12.0,0.25290632247924805,1.404568114,35.21,-1.1017323,163.7665430465313,138.83879,-24.927753046531308,-17.954458582166634,185.01003470542037
2022-09-15,12.5,1.3546385765075684,1.022882049,27.06,-1.0210724,163.8155124814366,138.83879,-24.97672248143661,-17.989729297868852,212.68922295136053
2022-09-15,13.0,2.375710964202881,0.713534761,26.0,-0.7091874,163.92854416851333,138.83879,-25.089754168513338,-18.071141478914747,231.2411267373609
2022-09-15,13.5,3.0848984718322754,0.651649856,38.57,-0.60789007,165.6163591344084,163.98642999999998,-1.6299291344084281,-0.9939414708939198,256.37526168328077
2022-09-15,14.0,3.692788600921631,0.549224925,40.6,0.9042467,224.62730661770547,186.27583,-38.35147661770546,-20.588541528820702,278.6737936382806
2022-09-15,14.5,2.788541793823242,0.596870857,43.32,0.5487499,274.25559883789174,236.48371,-37.77188883789174,-15.972300518243618,304.5302391635205
2022-09-15,15.0,2.2397918701171875,0.561542202,42.99,-0.48101377,277.7175159201324,236.48371,-41.233805920132426,-17.43621407162989,328.6709384275009
2022-09-15,15.5,2.7208056449890137,0.435566356,44.0,-0.31467113,283.0369059086479,255.66771,-27.369195908647896,-10.704987308975348,347.835858091501
2022-09-15,16.0,3.0354766845703125,0.299946135,45.0,1.2060084,350.80486152695266,269.16770999999994,-81.63715152695272,-30.329474336632998,361.3334341665013
2022-09-15,16.5,1.8294682502746582,0.214057758,58.24,-0.21309751,350.86078621194247,281.63107,-69.22971621194245,-24.581704075456745,373.8001579924212
